channel,event,kind,log-date,log-time,messageId,newrelic.logs.batchIndex,plugin.type,plugin.version,timestamp,status,transaction,pri,transaction2,message,channel-uat,kind-uat,log-date-uat,log-time-uat,transaction-uat,pri-uat,transaction2-uat,message-uat
JMSCollInAdp,ULgR7KZUMHao1kc90QeMSQOR,OUT,2021/08/06,15:26:36,122282c8-2fa9-48b4-a0fa-015ee73fa4f3,229,fluentd,1.1.10,1628281596874,,,,,,,,,,,,,
EventManager,ULgR7KTv2BM8HUc90QfQoMbB,OUT,2021/08/06,15:26:36,5c791b5f-5c4b-45c4-b741-2b8d15c9be78,228,fluentd,1.1.10,1628281596873,,,,,,,,,,,,,
StateManager,,TOREGISTER,2021/08/06,15:26:36,6d17023b-d22e-46cc-8895-2315711b77b0,227,fluentd,1.1.10,1628281596873,"(2,1)",ULgR7KTv2BM8HUc90QfQoMbB,,,,,,,,,,,
google-fcm-out,,OUT,2021/08/06,15:26:36,1fecdb27-658e-4eef-a776-78150c1f8caf,224,fluentd,1.1.10,1628281596872,"(1,2)",ULgR7Ke0PXaiK+c90QchCyLn,,,,,,,,,,,
JMSCollInAdp,ULgR7KZUMHao1kc90QeMSQOR,IN,2021/08/06,15:26:36,e16ebbc4-065c-4dac-9db2-fb67fb3d8396,225,fluentd,1.1.10,1628281596872,,,,,,,,,,,,,
google-fcm-out,,SEND,2021/08/06,15:26:36,a14308f6-4b79-4c53-9863-78da4323bb23,226,fluentd,1.1.10,1628281596872,,ULgR7Ke0PXaiK+c90QchCyLn,,,,,,,,,,,
StateManager,,NEWEVENT,2021/08/06,15:26:36,ad4a913d-5cc7-43d4-9ec1-4d28d38bd19e,223,fluentd,1.1.10,1628281596871,"(2,1)",ULgR7KTv2BM8HUc90QfQoMbB,,,,,,,,,,,
JMSCollInAdp,ULgR7KZrI7NB0+c90QduBoMX,OUT,2021/08/06,15:26:36,2fe44609-b0e6-45e8-b7ac-da6d40a2d5e0,220,fluentd,1.1.10,1628281596871,,,,,,,,,,,,,
google-fcm-out,,SEND,2021/08/06,15:26:36,49349857-038e-48d3-937e-00c272f0998f,221,fluentd,1.1.10,1628281596871,,ULgR7KXGMvunG+c90QeGDa9p,,,,,,,,,,,
StateManager,,TOREGISTER,2021/08/06,15:26:36,b697d4bf-6e20-4da0-a653-2f96fabfc522,222,fluentd,1.1.10,1628281596871,"(1,2)",ULgR7KTv2BM8HUc90QfQoMbB,,,,,,,,,,,
JMSCollInAdp,ULgR7KZrI7NB0+c90QduBoMX,IN,2021/08/06,15:26:36,b1f9d55a-41ec-4222-a8dc-69f2c9912934,217,fluentd,1.1.10,1628281596869,,,,,,,,,,,,,
google-fcm-out,,OUT,2021/08/06,15:26:36,b71fa7da-e98a-42c4-9f78-08a91c0ceae1,218,fluentd,1.1.10,1628281596869,"(1,2)",ULgR7KXGMvunG+c90QeGDa9p,,,,,,,,,,,
JMSCollInAdp,ULgR7KdxceR7Zkc90QdZsPay,OUT,2021/08/06,15:26:36,fa1da896-b3d8-41d6-b97e-eb5c1bf87662,219,fluentd,1.1.10,1628281596869,,,,,,,,,,,,,
StateManager,,IN,2021/08/06,15:26:36,9708ef8d-934e-448a-8675-b11fc9e6447d,216,fluentd,1.1.10,1628281596868,"(1,2)",ULgR7KTv2BM8HUc90QfQoMbB,,,,,,,,,,,
EventManager,ULgR7KTv2BM8HUc90QfQoMbB,IN,2021/08/06,15:26:36,31562c1c-971d-42a2-be5e-5a7842d5b605,215,fluentd,1.1.10,1628281596868,,,,,,,,,,,,,
JMSCollInAdp,ULgR7KdxceR7Zkc90QdZsPay,IN,2021/08/06,15:26:36,e11efd51-9d61-4aca-a905-91289a9a4a81,214,fluentd,1.1.10,1628281596867,,,,,,,,,,,,,
google-fcm-out,,SEND,2021/08/06,15:26:36,8f0d173e-1d60-406a-969e-323d5040269f,213,fluentd,1.1.10,1628281596864,,ULgR7KZTWRj3hUc90QfoJGom,,,,,,,,,,,
google-fcm-out,,OUT,2021/08/06,15:26:36,9e7c7242-7ec7-40b9-bb56-227eb010af00,212,fluentd,1.1.10,1628281596864,"(1,2)",ULgR7KZTWRj3hUc90QfoJGom,,,,,,,,,,,
JMSCollInAdp,ULgR7KUEvMnWwEc90QaTbuCr,IN,2021/08/06,15:26:36,52b5d317-ee81-4991-acd7-20a5967b7fcc,614,fluentd,1.1.10,1628281596862,,,,,,,,,,,,,
JMSCollInAdp,ULgR7KTv2BM8HUc90QfQoMbB,OUT,2021/08/06,15:26:36,b5e2680a-14f7-436c-a9aa-7d7d101fdf20,211,fluentd,1.1.10,1628281596861,,,,,,,,,,,,,
StateManager,,IN,2021/08/06,15:26:36,100fd0b2-33dd-43c7-a6c8-e6ec2fa5c87c,613,fluentd,1.1.10,1628281596860,"(1,2)",ULgR7KbDK/2xKUc90QaZybLb,,,,,,,,,,,
google-fcm-out,,OUT,2021/08/06,15:26:36,3655c30b-0577-4b51-a3cf-d24289070e17,209,fluentd,1.1.10,1628281596860,"(1,2)",ULgR7KZhhdbRO+c90QeVRUaY,,,,,,,,,,,
google-fcm-out,,SEND,2021/08/06,15:26:36,4d14b0b4-64ba-49b5-b493-7ea53a606362,210,fluentd,1.1.10,1628281596860,,ULgR7KZhhdbRO+c90QeVRUaY,,,,,,,,,,,
EventManager,ULgR7KTSYe/2hEc90QZvXo7D,IN,2021/08/06,15:26:36,1faf4e22-b926-4cc1-9cb8-94d920325332,610,fluentd,1.1.10,1628281596860,,,,,,,,,,,,,
StateManager,,IN,2021/08/06,15:26:36,c580ba13-c3c8-498e-a9cd-e380e2f21f35,611,fluentd,1.1.10,1628281596860,"(1,2)",ULgR7KTSYe/2hEc90QZvXo7D,,,,,,,,,,,
